category_id,category_name,description,product_id,product_name,price,supplier_id
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1002,Jeera Soda,277.88,68
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1005,Buttermilk,428.44,88
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1036,Maaza,287.54,171
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1042,Limca,105.12,87
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1045,Buttermilk,167.05,140
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1091,Bisleri Soda,394.05,81
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1092,Bournvita,492.06,126
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1094,Mocktail Mix,60.59,177
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1184,Buttermilk,244.89,121
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1189,Sugarcane Juice,334.78,90
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1202,Bovonto,176.78,65
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1276,Mountain Dew,287.39,90
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1331,Nescafe,370.75,137
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1339,Red Bull,473.78,104
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1356,Amul Kool,192.15,92
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1393,Red Bull,175.03,34
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1423,Limca,131.42,129
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1424,Jeera Soda,192.22,34
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1437,Coconut Water,143.82,1
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1483,Bournvita,165.84,23
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1531,Mocktail Mix,323.95,8
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1547,Amul Kool,280.49,175
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1558,Pepsi,260.13,181
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1607,Mocktail Mix,172.38,86
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1608,Nescafe,85.05,181
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1611,Paper Boat,250.9,117
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1618,Electral,438.71,199
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1662,Buttermilk,311.26,20
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1676,Jeera Soda,294.95,129
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1731,Limca,340.67,183
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1734,Paper Boat,84.57,58
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1741,Paper Boat,75.94,38
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1810,Complan,277.87,176
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1811,Bovonto,344.74,128
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1812,Monster,339.12,21
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1826,Herbal Drink,196.86,139
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1840,Green Tea,127.76,84
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1841,Sprite,275.05,69
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1851,Amul Kool,402.87,165
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1856,Maaza,82.45,61
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1861,Horlicks,488.54,68
1,Beverages,Sequi odit nam et laboriosam velit non minima.,1910,Catch Soda,283.79,99
2,Snacks,Vero adipisci consequatur a quia.,1006,Puffed Rice,113.98,163
2,Snacks,Vero adipisci consequatur a quia.,1079,Ragi Chips,215.78,163
2,Snacks,Vero adipisci consequatur a quia.,1098,Quinoa Snacks,494.27,51
2,Snacks,Vero adipisci consequatur a quia.,1119,Pringles,396.8,182
2,Snacks,Vero adipisci consequatur a quia.,1120,Doritos,117.74,65
2,Snacks,Vero adipisci consequatur a quia.,1238,Dry Fruit Mix,28.95,118
2,Snacks,Vero adipisci consequatur a quia.,1286,Pringles,257.21,64
2,Snacks,Vero adipisci consequatur a quia.,1432,Uncle Chips,487.57,123
2,Snacks,Vero adipisci consequatur a quia.,1454,Lay's Chips,495.02,115
2,Snacks,Vero adipisci consequatur a quia.,1484,Balaji Wafers,144.63,139
2,Snacks,Vero adipisci consequatur a quia.,1562,Farsan,240.81,128
2,Snacks,Vero adipisci consequatur a quia.,1613,Masala Peanuts,481.06,159
2,Snacks,Vero adipisci consequatur a quia.,1623,Gathiya,385.15,19
2,Snacks,Vero adipisci consequatur a quia.,1648,Soya Sticks,387.82,171
2,Snacks,Vero adipisci consequatur a quia.,1735,Kurkure,377.8,25
2,Snacks,Vero adipisci consequatur a quia.,1742,Oats Chips,126.92,97
2,Snacks,Vero adipisci consequatur a quia.,1751,Doritos,277.99,9
2,Snacks,Vero adipisci consequatur a quia.,1761,Gathiya,448.79,113
2,Snacks,Vero adipisci consequatur a quia.,1869,Diet Chips,258.75,113
2,Snacks,Vero adipisci consequatur a quia.,1888,Cheese Balls,151.73,195
2,Snacks,Vero adipisci consequatur a quia.,1899,Roasted Makhana,443.23,45
2,Snacks,Vero adipisci consequatur a quia.,1957,Banana Chips,421.92,97
2,Snacks,Vero adipisci consequatur a quia.,1976,Mini Kachori,159.52,105
2,Snacks,Vero adipisci consequatur a quia.,1981,Namkeen Mixture,367.58,128
2,Snacks,Vero adipisci consequatur a quia.,1987,Lay's Chips,360.27,100
2,Snacks,Vero adipisci consequatur a quia.,1995,Masala Peanuts,417.07,179
3,Dairy,Blanditiis alias dolorum et.,1022,Malai,134.45,192
3,Dairy,Blanditiis alias dolorum et.,1034,Milkmaid,23.67,178
3,Dairy,Blanditiis alias dolorum et.,1044,Malai,121.85,109
3,Dairy,Blanditiis alias dolorum et.,1191,Soft Cheese,211.77,143
3,Dairy,Blanditiis alias dolorum et.,1213,Low Fat Milk,217.01,142
3,Dairy,Blanditiis alias dolorum et.,1268,Skimmed Milk,39.6,181
3,Dairy,Blanditiis alias dolorum et.,1323,Buffalo Milk,211.87,8
3,Dairy,Blanditiis alias dolorum et.,1385,Curd,334.8,71
3,Dairy,Blanditiis alias dolorum et.,1395,Ghee,91.19,108
3,Dairy,Blanditiis alias dolorum et.,1468,Mother Dairy,352.22,177
3,Dairy,Blanditiis alias dolorum et.,1475,Cheese Cubes,215.7,154
3,Dairy,Blanditiis alias dolorum et.,1524,Chaas,447.82,119
3,Dairy,Blanditiis alias dolorum et.,1565,Choco Milk,126.01,25
3,Dairy,Blanditiis alias dolorum et.,1629,Organic Milk,497.33,83
3,Dairy,Blanditiis alias dolorum et.,1638,Choco Milk,450.88,71
3,Dairy,Blanditiis alias dolorum et.,1723,Ricotta,485.37,178
3,Dairy,Blanditiis alias dolorum et.,1768,Amul Milk,427.33,110
3,Dairy,Blanditiis alias dolorum et.,1797,Blue Cheese,207.17,127
3,Dairy,Blanditiis alias dolorum et.,1833,Cow Milk,359.73,37
3,Dairy,Blanditiis alias dolorum et.,1854,Mozzarella,15.57,147
3,Dairy,Blanditiis alias dolorum et.,1916,Dahi,234.73,4
3,Dairy,Blanditiis alias dolorum et.,1944,Processed Cheese,337.56,43
3,Dairy,Blanditiis alias dolorum et.,1955,Amul Milk,452.13,132
3,Dairy,Blanditiis alias dolorum et.,1964,Cheese Cubes,403.78,185
3,Dairy,Blanditiis alias dolorum et.,1997,Blue Cheese,103.48,45
4,Bakery,Esse velit quisquam dolores.,1004,Biscotti,215.34,148
4,Bakery,Esse velit quisquam dolores.,1103,Kulcha,195.2,21
4,Bakery,Esse velit quisquam dolores.,1112,White Bread,257.97,177
4,Bakery,Esse velit quisquam dolores.,1121,Cream Roll,61.27,188
4,Bakery,Esse velit quisquam dolores.,1122,Pizza Base,426.03,189
4,Bakery,Esse velit quisquam dolores.,1187,Garlic Bread,46.11,153
4,Bakery,Esse velit quisquam dolores.,1262,Crisp,451.8,138
4,Bakery,Esse velit quisquam dolores.,1306,Cake,250.57,179
4,Bakery,Esse velit quisquam dolores.,1319,Cupcake,229.5,113
4,Bakery,Esse velit quisquam dolores.,1335,Puff,350.02,129
4,Bakery,Esse velit quisquam dolores.,1341,Focaccia,423.57,141
4,Bakery,Esse velit quisquam dolores.,1349,Bread Loaf,76.2,67
4,Bakery,Esse velit quisquam dolores.,1375,Crackers,412.28,123
4,Bakery,Esse velit quisquam dolores.,1400,Pizza Base,317.78,7
4,Bakery,Esse velit quisquam dolores.,1409,Khari,225.04,74
4,Bakery,Esse velit quisquam dolores.,1447,Brown Bread,211.02,94
4,Bakery,Esse velit quisquam dolores.,1499,Puff,481.64,126
4,Bakery,Esse velit quisquam dolores.,1575,Swiss Roll,343.24,21
4,Bakery,Esse velit quisquam dolores.,1576,Swiss Roll,371.98,127
4,Bakery,Esse velit quisquam dolores.,1583,Cake,63.09,85
4,Bakery,Esse velit quisquam dolores.,1617,Burger Buns,257.63,56
4,Bakery,Esse velit quisquam dolores.,1651,Multigrain Bread,392.59,73
4,Bakery,Esse velit quisquam dolores.,1719,Bagel,119.83,143
4,Bakery,Esse velit quisquam dolores.,1749,Plum Cake,301.19,178
4,Bakery,Esse velit quisquam dolores.,1776,Crackers,45.97,25
4,Bakery,Esse velit quisquam dolores.,1802,Crisp,227.12,150
4,Bakery,Esse velit quisquam dolores.,1870,Burger Buns,439.64,193
