loyalty_id,customer_id,points,last_updated
1,1480,549,2025-08-06 14:52:26.605768
2,906,751,2025-08-06 14:52:26.605905
3,2799,282,2025-08-06 14:52:26.605938
4,1387,552,2025-08-06 14:52:26.605965
5,732,488,2025-08-06 14:52:26.605991
6,1530,151,2025-08-06 14:52:26.606015
7,2478,356,2025-08-06 14:52:26.606040
8,1638,450,2025-08-06 14:52:26.606065
9,2591,346,2025-08-06 14:52:26.606090
10,2156,530,2025-08-06 14:52:26.606116
11,351,48,2025-08-06 14:52:26.606140
12,1861,206,2025-08-06 14:52:26.606164
13,2979,345,2025-08-06 14:52:26.606188
14,1221,640,2025-08-06 14:52:26.606212
15,1703,372,2025-08-06 14:52:26.606236
16,156,214,2025-08-06 14:52:26.606261
17,415,511,2025-08-06 14:52:26.606285
18,2592,9,2025-08-06 14:52:26.606310
19,125,422,2025-08-06 14:52:26.606333
20,1699,69,2025-08-06 14:52:26.606357
21,1895,631,2025-08-06 14:52:26.606381
22,1742,891,2025-08-06 14:52:26.606405
23,2024,939,2025-08-06 14:52:26.606429
24,599,538,2025-08-06 14:52:26.606454
25,1466,29,2025-08-06 14:52:26.606482
26,2046,703,2025-08-06 14:52:26.606508
27,1993,989,2025-08-06 14:52:26.606534
28,1743,301,2025-08-06 14:52:26.606558
29,457,801,2025-08-06 14:52:26.606581
30,2116,846,2025-08-06 14:52:26.606606
31,2523,715,2025-08-06 14:52:26.606629
32,43,601,2025-08-06 14:52:26.606653
33,789,791,2025-08-06 14:52:26.606676
34,1016,436,2025-08-06 14:52:26.606699
35,2567,459,2025-08-06 14:52:26.606724
36,2805,474,2025-08-06 14:52:26.606747
37,539,552,2025-08-06 14:52:26.606771
38,1873,248,2025-08-06 14:52:26.606796
39,701,895,2025-08-06 14:52:26.606819
40,1279,617,2025-08-06 14:52:26.606843
41,500,918,2025-08-06 14:52:26.606867
42,2914,459,2025-08-06 14:52:26.606891
43,2850,774,2025-08-06 14:52:26.606917
44,1779,421,2025-08-06 14:52:26.606941
45,696,390,2025-08-06 14:52:26.606965
46,1627,135,2025-08-06 14:52:26.606992
47,2389,505,2025-08-06 14:52:26.607016
48,670,524,2025-08-06 14:52:26.607040
49,869,595,2025-08-06 14:52:26.607065
50,2846,692,2025-08-06 14:52:26.607090
51,2238,595,2025-08-06 14:52:26.607116
52,23,373,2025-08-06 14:52:26.607141
53,2094,82,2025-08-06 14:52:26.607166
54,2418,385,2025-08-06 14:52:26.607192
55,476,519,2025-08-06 14:52:26.607217
56,1884,637,2025-08-06 14:52:26.607241
57,989,690,2025-08-06 14:52:26.607266
58,2284,739,2025-08-06 14:52:26.607291
59,26,376,2025-08-06 14:52:26.607316
60,1690,370,2025-08-06 14:52:26.607342
61,2072,859,2025-08-06 14:52:26.607367
62,277,586,2025-08-06 14:52:26.607393
63,957,71,2025-08-06 14:52:26.607417
64,1712,977,2025-08-06 14:52:26.607442
65,381,649,2025-08-06 14:52:26.607465
66,909,345,2025-08-06 14:52:26.607499
67,705,689,2025-08-06 14:52:26.607524
68,1752,873,2025-08-06 14:52:26.607549
69,465,437,2025-08-06 14:52:26.607573
70,649,206,2025-08-06 14:52:26.607597
71,688,113,2025-08-06 14:52:26.607623
72,2605,34,2025-08-06 14:52:26.607646
73,2733,957,2025-08-06 14:52:26.607671
74,369,411,2025-08-06 14:52:26.607697
75,415,690,2025-08-06 14:52:26.608474
76,1022,761,2025-08-06 14:52:26.608537
77,2502,980,2025-08-06 14:52:26.608576
78,1531,674,2025-08-06 14:52:26.608616
79,1530,71,2025-08-06 14:52:26.608647
80,1381,606,2025-08-06 14:52:26.608676
81,397,61,2025-08-06 14:52:26.608704
82,99,558,2025-08-06 14:52:26.608730
83,54,277,2025-08-06 14:52:26.608758
84,1988,271,2025-08-06 14:52:26.608783
85,1522,469,2025-08-06 14:52:26.608810
86,2938,547,2025-08-06 14:52:26.608836
87,128,470,2025-08-06 14:52:26.608861
88,758,332,2025-08-06 14:52:26.608886
89,871,992,2025-08-06 14:52:26.608910
90,305,92,2025-08-06 14:52:26.608934
91,1319,190,2025-08-06 14:52:26.608958
92,1215,508,2025-08-06 14:52:26.608983
93,2755,796,2025-08-06 14:52:26.609010
94,2268,441,2025-08-06 14:52:26.609040
95,2489,128,2025-08-06 14:52:26.609292
96,694,449,2025-08-06 14:52:26.609332
97,239,876,2025-08-06 14:52:26.609362
98,318,586,2025-08-06 14:52:26.609388
99,2882,605,2025-08-06 14:52:26.609415
100,1083,683,2025-08-06 14:52:26.609463
101,2671,345,2025-08-06 14:52:26.609591
102,1925,19,2025-08-06 14:52:26.609623
103,2441,64,2025-08-06 14:52:26.609647
104,2835,376,2025-08-06 14:52:26.609671
105,1355,140,2025-08-06 14:52:26.609695
106,2449,506,2025-08-06 14:52:26.609719
107,1427,623,2025-08-06 14:52:26.609742
108,1297,232,2025-08-06 14:52:26.609766
109,277,890,2025-08-06 14:52:26.609791
110,1391,342,2025-08-06 14:52:26.609820
111,1505,745,2025-08-06 14:52:26.609846
112,2941,855,2025-08-06 14:52:26.609869
113,41,30,2025-08-06 14:52:26.609892
114,965,59,2025-08-06 14:52:26.610959
115,2784,647,2025-08-06 14:52:26.611033
116,2723,415,2025-08-06 14:52:26.611081
117,111,572,2025-08-06 14:52:26.611119
118,3000,444,2025-08-06 14:52:26.611153
119,453,305,2025-08-06 14:52:26.611186
120,1331,751,2025-08-06 14:52:26.611218
121,377,778,2025-08-06 14:52:26.611247
122,2472,952,2025-08-06 14:52:26.611275
123,828,451,2025-08-06 14:52:26.611303
124,2682,678,2025-08-06 14:52:26.611329
125,1054,703,2025-08-06 14:52:26.611356
126,880,399,2025-08-06 14:52:26.611383
127,2098,247,2025-08-06 14:52:26.611409
128,881,225,2025-08-06 14:52:26.611437
129,2216,534,2025-08-06 14:52:26.611463
130,2832,740,2025-08-06 14:52:26.611495
131,151,336,2025-08-06 14:52:26.611520
132,2987,338,2025-08-06 14:52:26.611544
133,641,514,2025-08-06 14:52:26.611570
134,53,826,2025-08-06 14:52:26.611595
135,743,974,2025-08-06 14:52:26.611622
136,331,489,2025-08-06 14:52:26.611647
137,409,588,2025-08-06 14:52:26.611674
138,2329,795,2025-08-06 14:52:26.611700
139,1776,881,2025-08-06 14:52:26.611726
140,1393,863,2025-08-06 14:52:26.611752
141,74,26,2025-08-06 14:52:26.611778
142,2675,849,2025-08-06 14:52:26.611805
143,855,39,2025-08-06 14:52:26.611832
144,561,158,2025-08-06 14:52:26.611861
145,1976,903,2025-08-06 14:52:26.611888
146,1752,882,2025-08-06 14:52:26.611916
147,1676,863,2025-08-06 14:52:26.611944
148,65,187,2025-08-06 14:52:26.611976
149,780,391,2025-08-06 14:52:26.612005
150,344,45,2025-08-06 14:52:26.612035
151,1679,832,2025-08-06 14:52:26.612062
152,2337,762,2025-08-06 14:52:26.612088
153,1548,450,2025-08-06 14:52:26.612115
154,872,698,2025-08-06 14:52:26.612142
155,1154,47,2025-08-06 14:52:26.612169
156,2749,36,2025-08-06 14:52:26.612197
157,2073,580,2025-08-06 14:52:26.612223
158,40,113,2025-08-06 14:52:26.612251
159,2356,894,2025-08-06 14:52:26.612277
160,1373,910,2025-08-06 14:52:26.612302
161,589,646,2025-08-06 14:52:26.612328
162,1965,513,2025-08-06 14:52:26.612356
163,2160,383,2025-08-06 14:52:26.612382
164,1267,331,2025-08-06 14:52:26.612407
165,2756,200,2025-08-06 14:52:26.612433
166,1460,302,2025-08-06 14:52:26.612460
167,739,574,2025-08-06 14:52:26.612485
168,1920,982,2025-08-06 14:52:26.612510
169,527,435,2025-08-06 14:52:26.612535
170,1783,397,2025-08-06 14:52:26.612562
171,1708,368,2025-08-06 14:52:26.612587
172,939,269,2025-08-06 14:52:26.612611
173,1896,877,2025-08-06 14:52:26.612636
174,279,963,2025-08-06 14:52:26.612664
175,274,330,2025-08-06 14:52:26.612690
176,2563,118,2025-08-06 14:52:26.612716
177,2756,156,2025-08-06 14:52:26.612742
178,187,583,2025-08-06 14:52:26.612767
179,1340,296,2025-08-06 14:52:26.612793
180,1535,819,2025-08-06 14:52:26.612819
181,392,475,2025-08-06 14:52:26.612845
182,1196,24,2025-08-06 14:52:26.612873
183,2576,201,2025-08-06 14:52:26.612898
184,1305,161,2025-08-06 14:52:26.612922
185,1221,182,2025-08-06 14:52:26.612948
186,539,605,2025-08-06 14:52:26.612978
187,956,362,2025-08-06 14:52:26.613005
188,109,847,2025-08-06 14:52:26.613030
189,1928,688,2025-08-06 14:52:26.613057
190,377,118,2025-08-06 14:52:26.613082
191,208,590,2025-08-06 14:52:26.613108
192,162,610,2025-08-06 14:52:26.613134
193,481,809,2025-08-06 14:52:26.613158
194,2414,226,2025-08-06 14:52:26.613184
195,2176,778,2025-08-06 14:52:26.613207
196,696,333,2025-08-06 14:52:26.613231
197,917,836,2025-08-06 14:52:26.613256
198,1006,600,2025-08-06 14:52:26.613281
199,2030,129,2025-08-06 14:52:26.613308
200,311,717,2025-08-06 14:52:26.613332
201,2184,852,2025-08-06 14:52:26.613357
202,2339,223,2025-08-06 14:52:26.613387
203,907,424,2025-08-06 14:52:26.613413
204,521,72,2025-08-06 14:52:26.613439
205,958,586,2025-08-06 14:52:26.613466
206,763,659,2025-08-06 14:52:26.613491
207,2193,923,2025-08-06 14:52:26.613517
208,1021,946,2025-08-06 14:52:26.613542
209,1112,543,2025-08-06 14:52:26.613566
210,1419,151,2025-08-06 14:52:26.613592
211,2896,203,2025-08-06 14:52:26.613617
212,1894,330,2025-08-06 14:52:26.613643
213,2376,335,2025-08-06 14:52:26.613669
214,1660,864,2025-08-06 14:52:26.613695
215,1497,299,2025-08-06 14:52:26.613721
216,1219,109,2025-08-06 14:52:26.613746
217,1548,348,2025-08-06 14:52:26.613771
218,1047,816,2025-08-06 14:52:26.613798
219,1098,387,2025-08-06 14:52:26.613824
220,2238,969,2025-08-06 14:52:26.613852
221,1342,19,2025-08-06 14:52:26.613881
222,903,866,2025-08-06 14:52:26.613909
223,998,946,2025-08-06 14:52:26.613938
224,2016,795,2025-08-06 14:52:26.613972
225,2772,689,2025-08-06 14:52:26.614003
226,2481,507,2025-08-06 14:52:26.614032
227,796,881,2025-08-06 14:52:26.614061
228,815,491,2025-08-06 14:52:26.614089
229,2408,648,2025-08-06 14:52:26.614117
230,2679,569,2025-08-06 14:52:26.614146
231,527,993,2025-08-06 14:52:26.614174
232,2419,710,2025-08-06 14:52:26.614202
233,1286,747,2025-08-06 14:52:26.614229
234,1568,731,2025-08-06 14:52:26.614262
235,1515,547,2025-08-06 14:52:26.614291
236,2046,692,2025-08-06 14:52:26.614319
237,976,258,2025-08-06 14:52:26.614350
238,330,551,2025-08-06 14:52:26.614381
239,2198,308,2025-08-06 14:52:26.614407
240,1923,719,2025-08-06 14:52:26.614433
241,810,931,2025-08-06 14:52:26.614460
242,801,801,2025-08-06 14:52:26.614495
243,940,251,2025-08-06 14:52:26.614524
244,2456,761,2025-08-06 14:52:26.614553
245,1249,482,2025-08-06 14:52:26.614579
246,2270,418,2025-08-06 14:52:26.614603
247,2265,448,2025-08-06 14:52:26.614629
248,1076,982,2025-08-06 14:52:26.614666
249,917,312,2025-08-06 14:52:26.614714
250,828,621,2025-08-06 14:52:26.614746
251,1344,52,2025-08-06 14:52:26.614775
252,2632,975,2025-08-06 14:52:26.614802
253,2755,752,2025-08-06 14:52:26.614841
254,1592,349,2025-08-06 14:52:26.614880
255,353,309,2025-08-06 14:52:26.614913
256,1233,507,2025-08-06 14:52:26.614941
257,2135,220,2025-08-06 14:52:26.614974
258,2150,563,2025-08-06 14:52:26.615014
259,2151,385,2025-08-06 14:52:26.615040
260,2228,959,2025-08-06 14:52:26.615066
261,2253,970,2025-08-06 14:52:26.616359
