order_id,customer_id,order_date,total_amount,region_id,channel_id,order_item_id,product_id,quantity,price_x,total_price,product_name,price_y,supplier_id,category_id
1,1705,2025-01-29,9659.9,3,2,1524,741,5,931.68,4658.4,Chocolate Bar,233.55,7,
1,1705,2025-01-29,9659.9,3,2,3332,886,2,105.76,211.52,Baby Detergent,247.38,76,
2,26,2024-08-10,4140.35,5,1,5830,520,5,1967.0,9835.0,Crab,188.66,60,
2,26,2024-08-10,4140.35,5,1,7087,94,2,1084.76,2169.52,Organic Rice,294.81,14,
3,2784,2025-04-19,2480.39,4,4,1899,375,4,1010.73,4042.92,Orange Squash,273.57,99,
3,2784,2025-04-19,2480.39,4,4,11764,222,4,898.06,3592.24,Refined Oil,189.18,61,
4,2284,2025-06-23,2362.01,4,3,686,138,5,871.19,4355.950000000001,Til Laddu,396.44,79,
4,2284,2025-06-23,2362.01,4,3,1389,474,5,835.87,4179.35,Pastry,110.06,1,
4,2284,2025-06-23,2362.01,4,3,8421,290,4,1511.34,6045.36,Coriander Chutney,115.47,63,
6,1697,2024-11-30,7063.73,6,3,6952,637,2,209.47,418.94,Basmati Rice,174.75,4,
8,428,2024-12-15,6657.73,2,4,5155,532,2,1690.13,3380.26,Folder,498.79,20,
8,428,2024-12-15,6657.73,2,4,10074,333,3,365.0,1095.0,Ghee Mysore Pak,306.81,66,
10,2175,2025-04-23,2292.88,3,1,248,40,5,1623.92,8119.6,Baby Cereal,330.83,6,
10,2175,2025-04-23,2292.88,3,1,1710,650,5,606.85,3034.25,Raspberry,278.56,52,
10,2175,2025-04-23,2292.88,3,1,3476,778,4,664.1,2656.4,Mountain Dew,397.53,14,
10,2175,2025-04-23,2292.88,3,1,4589,742,1,158.21,158.21,Carrot,403.82,60,
10,2175,2025-04-23,2292.88,3,1,5407,654,2,332.77,665.54,Organic Spices,174.53,86,
11,1288,2025-07-17,987.39,5,3,7400,763,4,959.24,3836.96,Fennel Seeds,353.31,67,
12,483,2025-03-08,7619.93,4,2,265,308,2,781.23,1562.46,Organic Dry Fruits,463.0,16,
12,483,2025-03-08,7619.93,4,2,7340,25,2,1265.26,2530.52,Electral,459.51,19,
12,483,2025-03-08,7619.93,4,2,7780,104,5,440.54,2202.7000000000003,Honey Coated Nuts,152.07,49,
12,483,2025-03-08,7619.93,4,2,9228,191,4,748.85,2995.4,Milk Shake,294.07,39,
13,1146,2025-02-09,2921.52,2,4,1296,958,4,1381.58,5526.32,Cat Treats,299.58,97,
13,1146,2025-02-09,2921.52,2,4,2431,667,2,1938.71,3877.42,Sugarcane Juice,180.32,26,
13,1146,2025-02-09,2921.52,2,4,9017,307,4,1260.73,5042.92,Instant Upma,458.14,11,
14,2553,2024-09-12,889.19,4,3,5827,218,4,1259.07,5036.28,Energy Drinks,460.27,84,
15,2933,2024-12-31,9208.78,3,1,1615,496,5,676.61,3383.05,Oats Chips,429.85,93,
15,2933,2024-12-31,9208.78,3,1,3999,810,4,1194.51,4778.04,Nescafe,460.73,77,
15,2933,2024-12-31,9208.78,3,1,5662,16,1,1741.79,1741.79,Buttermilk,333.43,50,
15,2933,2024-12-31,9208.78,3,1,7587,400,4,691.75,2767.0,Baby Toothbrush,133.51,76,
16,679,2024-12-26,8267.29,1,2,3311,912,2,351.13,702.26,Organic Mustard Oil,456.19,82,
16,679,2024-12-26,8267.29,1,2,4718,114,2,306.46,612.92,Amchur Powder,194.02,24,
16,679,2024-12-26,8267.29,1,2,5161,897,4,1164.56,4658.24,Chopping Tray,358.86,46,
17,606,2025-03-24,5472.11,6,4,1969,289,4,1287.89,5151.56,Iced Tea Mix,286.54,77,
17,606,2025-03-24,5472.11,6,4,2216,169,4,436.45,1745.8,Til Laddu,89.14,4,
17,606,2025-03-24,5472.11,6,4,2325,38,1,207.3,207.3,Bird Cage,385.21,25,
17,606,2025-03-24,5472.11,6,4,5659,22,2,1306.56,2613.12,Haldiram Bhujia,224.31,51,
18,2004,2024-10-16,7193.11,2,4,5703,648,1,1391.5,1391.5,Mulberry,134.69,65,
18,2004,2024-10-16,7193.11,2,4,11685,58,5,556.87,2784.35,Black Salt,439.74,84,
19,189,2025-02-10,5187.58,1,3,10073,408,1,1250.37,1250.37,Floor Cleaner,295.01,36,
20,1344,2025-05-16,4940.25,2,2,2115,432,5,466.12,2330.6,Aarti Book,487.36,8,
22,1994,2025-06-30,7784.8,3,3,11310,943,3,995.67,2987.0099999999998,Dry Anjeer,419.38,85,
23,844,2025-03-10,3377.41,2,2,195,815,5,1699.79,8498.95,Cluster Beans,28.78,11,
23,844,2025-03-10,3377.41,2,2,2936,628,4,1268.7,5074.8,Lip Balm,137.99,32,
23,844,2025-03-10,3377.41,2,2,4977,347,5,1611.5,8057.5,Pears,335.22,97,
24,1584,2024-08-09,5640.49,4,1,1245,87,5,298.34,1491.6999999999998,Bru Coffee,353.11,70,
