"sale_date","total_orders","total_revenue"
"2024-08-05","19","49898.61"
"2024-08-06","14","30326.56"
"2024-08-07","21","48627.12"
"2024-08-08","14","38120.85"
"2024-08-09","17","42767.67"
"2024-08-10","21","48469.91"
"2024-08-11","13","34089.61"
"2024-08-12","13","32603.57"
"2024-08-13","21","46176.82"
"2024-08-14","16","32623.47"
"2024-08-15","13","37073.32"
"2024-08-16","16","44031.99"
"2024-08-17","17","40238.48"
"2024-08-18","11","33731.88"
"2024-08-19","13","33328.98"
"2024-08-20","12","31876.57"
"2024-08-21","20","50081.05"
"2024-08-22","17","42589.77"
"2024-08-23","12","22638.25"
"2024-08-24","16","30690.07"
"2024-08-25","16","45199.78"
"2024-08-26","16","45016.35"
"2024-08-27","17","43016.28"
"2024-08-28","16","45335.94"
"2024-08-29","4","8078.93"
"2024-08-30","13","30318.85"
"2024-08-31","17","41973.28"
"2024-09-01","12","24817.69"
"2024-09-02","11","20293.44"
"2024-09-03","14","30996.16"
"2024-09-04","16","51848.00"
"2024-09-05","17","37807.06"
"2024-09-06","11","20674.43"
"2024-09-07","11","28289.07"
"2024-09-08","14","31000.77"
"2024-09-09","12","30683.17"
"2024-09-10","18","36256.11"
"2024-09-11","15","35660.33"
"2024-09-12","15","28304.78"
"2024-09-13","13","30868.20"
"2024-09-14","15","31453.31"
"2024-09-15","11","29891.52"
"2024-09-16","12","26282.13"
"2024-09-17","16","31338.46"
"2024-09-18","15","36100.07"
"2024-09-19","12","30928.63"
"2024-09-20","22","53087.27"
"2024-09-21","12","33449.40"
"2024-09-22","11","23754.67"
"2024-09-23","17","43196.21"
"2024-09-24","17","45871.25"
"2024-09-25","9","19528.19"
"2024-09-26","13","26194.51"
"2024-09-27","14","41989.88"
"2024-09-28","13","25494.06"
"2024-09-29","9","21170.73"
"2024-09-30","14","22951.32"
"2024-10-01","17","40933.19"
"2024-10-02","11","28156.56"
"2024-10-03","11","19575.55"
"2024-10-04","12","25397.77"
"2024-10-05","16","49687.04"
"2024-10-06","10","33054.74"
"2024-10-07","14","35726.74"
"2024-10-08","24","53620.44"
"2024-10-09","17","42739.09"
"2024-10-10","20","42780.45"
"2024-10-11","22","49613.67"
